"filename", "language", "Markdown", "Makefile", "JSON", "YAML", "Shell Script", "Docker", "JSON with Comments", "Properties", "JavaScript", "TypeScript", "HTML", "CSS", "Ini", "PHP", "comment", "blank", "total"
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/src/api/schemas/friends.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 245, 0, 0, 0, 0, 0, 0, 4, 249
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/src/api/schemas/games.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 0, 0, 0, 0, 4, 236
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/src/api/schemas/profile.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 3, 173
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/src/config/app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 5, 11, 102
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/src/config/logsConfiguration.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/src/config/middleware/auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 11, 44
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/src/config/serverConfiguration.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 6, 29
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/src/game/gameHandlers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 4, 21, 113
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/src/game/gameManager.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 15, 102
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/src/main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 11, 42
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/src/plugins/healthCheck.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 2, 19
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/src/plugins/prometheusMetrics.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 2, 14, 84
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/src/plugins/setupCors.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/src/redis/redisService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 11, 61
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/src/server/wsServer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/src/websocket/chatSocket.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 17, 23, 165
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/src/websocket/gameSocket.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 1, 16, 79
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/tools/init_db.sh", "Shell Script", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 59
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/backend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/blockchain/Dockerfile", "Docker", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 31
"/home/hmunoz-g/42-CommonCore/MS6/ft_transcendence/containers/blockchain/artifacts/build-info/f727194919a983502de1cbfba59ddff1.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
